"Project","Client","Description","Task","User","Email","Tags","Billable","Start Date","Start Time","End Date","End Time","Duration (h)","Duration (decimal)","Hourly Rate (CHF)","Amount (CHF)"
"IW","","","","","","","No","2019-09-20","15:09:00","2019-09-20","15:54:12","00:45:12","0.7533333333333333","",""
"ENG","","","","","","","No","2019-09-20","15:55:49","2019-09-20","17:05:48","01:09:59","1.166388888888889","",""
"IW","","","","","","","No","2019-09-20","21:30:28","2019-09-20","21:46:27","00:15:59","0.2663888888888889","",""
"WOR","","","","","","","No","2019-09-22","17:36:00","2019-09-22","18:20:48","00:44:48","0.7466666666666667","",""
"WIAR","","","","","","","No","2019-09-23","07:20:00","2019-09-23","08:35:32","01:15:32","1.258888888888889","",""
"WIAR","","","","","","","No","2019-09-23","10:59:55","2019-09-23","11:24:52","00:24:57","0.41583333333333333","",""
"WIAR","","","","","","","No","2019-09-23","13:33:00","2019-09-23","14:05:32","00:32:32","0.5422222222222223","",""
"WOR","","","","","","","No","2019-09-23","19:21:34","2019-09-23","19:53:28","00:31:54","0.5316666666666666","",""
"WINF","","","Learn","","","","No","2019-09-24","08:50:00","2019-09-24","09:19:46","00:29:46","0.4961111111111111","",""
"IW","","","","","","","No","2019-09-24","15:10:56","2019-09-24","15:48:50","00:37:54","0.6316666666666667","",""
"WINF","","","Learn","","","","No","2019-09-24","15:48:54","2019-09-24","16:14:51","00:25:57","0.4325","",""
"WOR","","","","","","","No","2019-09-24","18:09:18","2019-09-24","19:09:19","01:00:01","1.0002777777777778","",""
"WINF","","","Website","","","","No","2019-09-26","07:15:00","2019-09-26","07:45:00","00:30:00","0.5","",""
"IW","","","","","","","No","2019-09-26","16:38:09","2019-09-26","17:41:27","01:03:18","1.055","",""
"WINF","","","Learn","","","","No","2019-09-26","17:59:37","2019-09-26","18:30:22","00:30:45","0.5125","",""
"WINF","","","Learn","","","","No","2019-09-26","20:00:01","2019-09-26","21:00:40","01:00:39","1.0108333333333333","",""
"WINF","","","Website","","","","No","2019-09-27","08:24:00","2019-09-27","09:10:00","00:46:00","0.7666666666666667","",""
"WOR","","","","","","","No","2019-09-28","15:25:38","2019-09-28","16:17:10","00:51:32","0.8588888888888889","",""
"WINF","","","Learn","","","","No","2019-09-28","20:22:49","2019-09-28","20:45:38","00:22:49","0.38027777777777777","",""
"WINF","","","Learn","","","","No","2019-10-01","06:57:07","2019-10-01","07:20:52","00:23:45","0.3958333333333333","",""
"WINF","","","Website","","","","No","2019-10-01","07:27:28","2019-10-01","07:46:56","00:19:28","0.3244444444444444","",""
"WINF","","","Website","","","","No","2019-10-01","08:46:47","2019-10-01","09:32:20","00:45:33","0.7591666666666667","",""
"WINF","","","Website","","","","No","2019-10-01","14:41:50","2019-10-01","16:17:21","01:35:31","1.5919444444444444","",""
"WINF","","","Website","","","","No","2019-10-03","17:22:55","2019-10-03","18:13:07","00:50:12","0.8366666666666667","",""
"WINF","","","Website","","","","No","2019-10-04","06:55:49","2019-10-04","07:34:40","00:38:51","0.6475","",""
"WINF","","","Website","","","","No","2019-10-04","09:10:05","2019-10-04","10:09:04","00:58:59","0.9830555555555556","",""
"IW","","","","","","","No","2019-10-04","11:25:47","2019-10-04","12:18:15","00:52:28","0.8744444444444445","",""
"IW","","","","","","","No","2019-10-04","16:40:35","2019-10-04","17:53:26","01:12:51","1.2141666666666666","",""
"IW","","","","","","","No","2019-10-04","20:18:51","2019-10-04","21:04:27","00:45:36","0.76","",""
"WIAR","","","","","","","No","2019-10-05","14:12:53","2019-10-05","15:12:00","00:59:07","0.9852777777777778","",""
"WIAR","","","","","","","No","2019-10-05","15:31:03","2019-10-05","16:01:48","00:30:45","0.5125","",""
"ARWI","","","","","","","No","2019-10-06","21:20:36","2019-10-06","21:52:26","00:31:50","0.5305555555555556","",""
"ENG","","","","","","","No","2019-10-07","09:11:00","2019-10-07","09:50:00","00:39:00","0.65","",""
"WIAR","","","","","","","No","2019-10-08","07:20:00","2019-10-08","08:05:00","00:45:00","0.75","",""
"WOR","","","","","","","No","2019-10-14","06:53:23","2019-10-14","07:44:10","00:50:47","0.8463888888888889","",""
"WOR","","","","","","","No","2019-10-14","07:54:10","2019-10-14","08:45:14","00:51:04","0.8511111111111112","",""
"WOR","","","","","","","No","2019-10-14","09:17:58","2019-10-14","09:46:57","00:28:59","0.48305555555555557","",""
"WOR","","","","","","","No","2019-10-14","12:28:20","2019-10-14","13:07:08","00:38:48","0.6466666666666666","",""
"WOR","","","","","","","No","2019-10-14","20:56:00","2019-10-14","21:18:59","00:22:59","0.38305555555555554","",""
"WOR","","","","","","","No","2019-10-15","06:40:21","2019-10-15","07:25:19","00:44:58","0.7494444444444445","",""
"ARWI","","","","","","","No","2019-10-15","15:35:00","2019-10-15","16:03:00","00:28:00","0.4666666666666667","",""
"BWL","","","Learn","","","","No","2019-10-15","19:35:31","2019-10-15","20:24:32","00:49:01","0.8169444444444445","",""
"BWL","","","Learn","","","","No","2019-10-16","06:30:17","2019-10-16","07:21:41","00:51:24","0.8566666666666667","",""
"ARWI","","","","","","","No","2019-10-16","17:37:22","2019-10-16","17:59:20","00:21:58","0.3661111111111111","",""
"WINF","","","Website","","","","No","2019-10-17","07:48:06","2019-10-17","08:45:52","00:57:46","0.9627777777777777","",""
"IW","","","","","","","No","2019-10-17","19:42:11","2019-10-17","20:10:00","00:27:49","0.4636111111111111","",""
"WOR","","","","","","","No","2019-10-18","15:23:33","2019-10-18","15:57:26","00:33:53","0.5647222222222222","",""
"WOR","","","","","","","No","2019-10-19","10:14:40","2019-10-19","10:51:19","00:36:39","0.6108333333333333","",""
"IW","","","","","","","No","2019-10-19","16:00:00","2019-10-19","16:25:04","00:25:04","0.4177777777777778","",""
"ARWI","","","","","","","No","2019-10-19","19:55:00","2019-10-19","20:18:03","00:23:03","0.38416666666666666","",""
"IW","","","","","","","No","2019-10-21","17:12:00","2019-10-21","17:43:56","00:31:56","0.5322222222222223","",""
"WOR","","","","","","","No","2019-10-21","17:46:15","2019-10-21","18:13:32","00:27:17","0.45472222222222225","",""
"WOR","","","","","","","No","2019-10-22","11:37:03","2019-10-22","11:57:55","00:20:52","0.3477777777777778","",""
"WOR","","","","","","","No","2019-10-22","15:27:40","2019-10-22","15:54:02","00:26:22","0.43944444444444447","",""
"WINF","","","Website","","","","No","2019-10-25","16:01:36","2019-10-25","17:10:54","01:09:18","1.155","",""
"WOR","","","","","","","No","2019-10-27","20:04:49","2019-10-27","20:26:40","00:21:51","0.3641666666666667","",""
"WOR","","","","","","","No","2019-10-28","12:19:19","2019-10-28","12:35:32","00:16:13","0.2702777777777778","",""
"WINF","","","Learn","","","","No","2019-10-28","14:57:16","2019-10-28","15:53:26","00:56:10","0.9361111111111111","",""
"WINF","","","Learn","","","","No","2019-10-28","16:29:36","2019-10-28","16:53:55","00:24:19","0.4052777777777778","",""
"ARWI","","","","","","","No","2019-10-29","14:06:01","2019-10-29","14:42:47","00:36:46","0.6127777777777778","",""
"WINF","","","Website","","","","No","2019-10-29","19:36:05","2019-10-29","21:05:56","01:29:51","1.4975","",""
"WOR","","","","","","","No","2019-11-02","11:01:14","2019-11-02","11:26:55","00:25:41","0.4280555555555556","",""
"WIAR","","","","","","","No","2019-11-02","14:35:57","2019-11-02","15:36:46","01:00:49","1.013611111111111","",""
"ARWI","","","","","","","No","2019-11-02","20:28:26","2019-11-02","20:39:36","00:11:10","0.18611111111111112","",""
"WIAR","","","","","","","No","2019-11-03","07:18:48","2019-11-03","08:14:54","00:56:06","0.935","",""
"WIAR","","","","","","","No","2019-11-03","09:39:28","2019-11-03","10:03:21","00:23:53","0.39805555555555555","",""
"ARWI","","","","","","","No","2019-11-03","10:30:53","2019-11-03","10:52:15","00:21:22","0.3561111111111111","",""
"BWL","","","Learn","","","","No","2019-11-04","10:46:06","2019-11-04","11:14:02","00:27:56","0.46555555555555556","",""
"IW","","","","","","","No","2019-11-04","12:54:20","2019-11-04","13:28:38","00:34:18","0.5716666666666667","",""
"IW","","","","","","","No","2019-11-04","14:11:07","2019-11-04","14:32:45","00:21:38","0.3605555555555556","",""
"ENG","","","","","","","No","2019-11-04","14:54:26","2019-11-04","15:29:51","00:35:25","0.5902777777777778","",""
"WOR","","","","","","","No","2019-11-04","19:38:11","2019-11-04","19:58:46","00:20:35","0.34305555555555556","",""
"BWL","","","Learn","","","","No","2019-11-05","08:42:51","2019-11-05","08:59:49","00:16:58","0.2827777777777778","",""
"BWL","","","Learn","","","","No","2019-11-05","13:42:56","2019-11-05","14:26:42","00:43:46","0.7294444444444445","",""
"WOR","","","","","","","No","2019-11-10","14:05:33","2019-11-10","14:35:00","00:29:27","0.49083333333333334","",""
"PSY","","","","","","","No","2019-11-11","10:06:19","2019-11-11","11:09:15","01:02:56","1.048888888888889","",""
"PSY","","","","","","","No","2019-11-11","11:33:18","2019-11-11","12:10:39","00:37:21","0.6225","",""
"ENG","","","","","","","No","2019-11-11","13:34:51","2019-11-11","14:31:25","00:56:34","0.9427777777777778","",""
"ENG","","","","","","","No","2019-11-18","13:48:32","2019-11-18","14:30:34","00:42:02","0.7005555555555556","",""
"BWL","","","Learn","","","","No","2019-11-19","08:06:00","2019-11-19","08:35:55","00:29:55","0.4986111111111111","",""
"IW","","","","","","","No","2019-11-19","19:38:57","2019-11-19","19:58:57","00:20:00","0.3333333333333333","",""
"PSY","","","","","","","No","2019-11-19","19:46:27","2019-11-19","19:59:27","00:13:00","0.21666666666666667","",""
"WOR","","","","","","","No","2019-11-20","21:13:25","2019-11-20","21:43:29","00:30:04","0.5011111111111111","",""
"IW","","","","","","","No","2019-11-23","12:53:14","2019-11-23","13:23:19","00:30:05","0.5013888888888889","",""
"ENG","","","","","","","No","2019-11-23","19:58:02","2019-11-23","20:06:41","00:08:39","0.14416666666666667","",""
"WINF","","","Learn","","","","No","2019-11-27","21:37:51","2019-11-27","22:00:04","00:22:13","0.37027777777777776","",""
"WINF","","","Learn","","","","No","2019-11-28","13:59:28","2019-11-28","15:04:34","01:05:06","1.085","",""
"NENT","","","","","","","No","2019-12-01","10:50:22","2019-12-01","12:11:38","01:21:16","1.3544444444444443","",""
"NENT","","","","","","","No","2019-12-01","14:20:01","2019-12-01","16:15:00","01:54:59","1.916388888888889","",""
"NENT","","","","","","","No","2019-12-01","20:21:13","2019-12-01","20:59:01","00:37:48","0.63","",""
"NENT","","","","","","","No","2019-12-02","09:34:00","2019-12-02","10:30:00","00:56:00","0.9333333333333333","",""
"WIAR","","","","","","","No","2019-12-02","10:30:00","2019-12-02","12:10:00","01:40:00","1.6666666666666667","",""
"NENT","","","","","","","No","2019-12-02","15:37:38","2019-12-02","16:32:37","00:54:59","0.9163888888888889","",""
"NENT","","","","","","","No","2019-12-02","19:03:56","2019-12-02","20:24:37","01:20:41","1.3447222222222222","",""
"NENT","","","","","","","No","2019-12-03","08:41:58","2019-12-03","09:25:46","00:43:48","0.73","",""
"NENT","","","","","","","No","2019-12-03","14:07:59","2019-12-03","15:10:49","01:02:50","1.0472222222222223","",""
"NENT","","","","","","","No","2019-12-03","17:28:00","2019-12-03","18:11:05","00:43:05","0.7180555555555556","",""
"NENT","","","","","","","No","2019-12-03","19:56:55","2019-12-03","20:34:21","00:37:26","0.6238888888888889","",""
"NENT","","","","","","","No","2019-12-04","20:19:44","2019-12-04","21:51:33","01:31:49","1.5302777777777778","",""
"NENT","","","","","","","No","2019-12-05","19:51:34","2019-12-05","20:09:59","00:18:25","0.30694444444444446","",""
"NENT","","","","","","","No","2019-12-05","20:14:57","2019-12-05","20:45:27","00:30:30","0.5083333333333333","",""
"NENT","","","","","","","No","2019-12-08","14:22:00","2019-12-08","16:22:00","02:00:00","2.0","",""
"NENT","","","","","","","No","2019-12-09","14:24:15","2019-12-09","15:18:17","00:54:02","0.9005555555555556","",""
"ENG","","","","","","","No","2019-12-09","21:23:32","2019-12-09","22:00:00","00:36:28","0.6077777777777778","",""
"WOR","","","","","","","No","2019-12-15","16:40:21","2019-12-15","17:26:04","00:45:43","0.7619444444444444","",""
"WOR","","","","","","","No","2019-12-15","17:36:50","2019-12-15","18:05:29","00:28:39","0.4775","",""
"WOR","","","","","","","No","2019-12-15","18:19:39","2019-12-15","19:08:53","00:49:14","0.8205555555555556","",""
"WOR","","","","","","","No","2019-12-15","20:54:30","2019-12-15","21:19:36","00:25:06","0.41833333333333333","",""
"PSY","","","","","","","No","2019-12-18","20:15:21","2019-12-18","20:51:50","00:36:29","0.6080555555555556","",""
"ARWI","","","","","","","No","2019-12-21","17:28:32","2019-12-21","18:15:19","00:46:47","0.7797222222222222","",""
"PSY","","","","","","","No","2019-12-23","20:48:14","2019-12-23","21:49:00","01:00:46","1.0127777777777778","",""
"IW","","","","","","","No","2019-12-28","11:16:05","2019-12-28","11:52:14","00:36:09","0.6025","",""
"PSY","","","","","","","No","2019-12-28","14:27:44","2019-12-28","15:02:30","00:34:46","0.5794444444444444","",""
"WOR","","","","","","","No","2019-12-28","15:40:09","2019-12-28","16:06:32","00:26:23","0.43972222222222224","",""
"ARWI","","","","","","","No","2019-12-28","19:23:27","2019-12-28","19:48:07","00:24:40","0.4111111111111111","",""
"IW","","","","","","","No","2019-12-30","08:57:09","2019-12-30","09:49:41","00:52:32","0.8755555555555555","",""
"IW","","","","","","","No","2019-12-30","10:05:48","2019-12-30","11:02:00","00:56:12","0.9366666666666666","",""
"IW","","","","","","","No","2019-12-30","13:37:39","2019-12-30","14:13:11","00:35:32","0.5922222222222222","",""
"WOR","","","","","","","No","2019-12-30","16:58:36","2019-12-30","17:29:40","00:31:04","0.5177777777777778","",""
"WINF","","","Website","","","","No","2020-01-03","14:41:56","2020-01-03","16:22:18","01:40:22","1.6727777777777777","",""
"WINF","","","Website","","","","No","2020-01-03","20:06:57","2020-01-03","21:32:06","01:25:09","1.4191666666666667","",""
"WIAR","","","","","","","No","2020-01-04","11:06:05","2020-01-04","11:51:47","00:45:42","0.7616666666666667","",""
"IW","","","","","","","No","2020-01-04","17:45:04","2020-01-04","18:09:10","00:24:06","0.40166666666666667","",""
"WOR","","","","","","","No","2020-01-04","19:59:15","2020-01-04","20:27:07","00:27:52","0.46444444444444444","",""
"IW","","","","","","","No","2020-01-05","14:43:18","2020-01-05","15:15:21","00:32:03","0.5341666666666667","",""
"BWL","","","Gruppenarbeit","","","","No","2020-01-06","15:16:31","2020-01-06","15:54:38","00:38:07","0.6352777777777778","",""
"IW","","","","","","","No","2020-01-06","17:24:47","2020-01-06","17:54:47","00:30:00","0.5","",""
"BWL","","","Gruppenarbeit","","","","No","2020-01-07","16:27:31","2020-01-07","16:58:13","00:30:42","0.5116666666666667","",""
"BWL","","","Gruppenarbeit","","","","No","2020-01-07","17:44:14","2020-01-07","18:24:15","00:40:01","0.6669444444444445","",""
"IW","","","","","","","No","2020-01-11","14:02:02","2020-01-11","14:31:45","00:29:43","0.49527777777777776","",""
"WOR","","","","","","","No","2020-01-11","15:24:21","2020-01-11","15:51:25","00:27:04","0.45111111111111113","",""
"ARWI","","","","","","","No","2020-01-11","20:40:00","2020-01-11","21:04:00","00:24:00","0.4","",""
"WOR","","","","","","","No","2020-01-12","11:41:49","2020-01-12","12:08:18","00:26:29","0.4413888888888889","",""
"PSY","","Lesen","","","","","No","2020-01-12","15:25:26","2020-01-12","16:31:11","01:05:45","1.0958333333333334","",""
"PSY","","Lesen","","","","","No","2020-01-12","20:20:11","2020-01-12","21:08:05","00:47:54","0.7983333333333333","",""
"WIAR","","","","","","","No","2020-01-13","11:31:21","2020-01-13","12:15:49","00:44:28","0.7411111111111112","",""
"PSY","","","","","","","No","2020-01-13","12:34:46","2020-01-13","12:54:33","00:19:47","0.32972222222222225","",""
"WIAR","","","","","","","No","2020-01-13","14:45:05","2020-01-13","15:35:47","00:50:42","0.845","",""
"ARWI","","","","","","","No","2020-01-13","17:03:14","2020-01-13","18:00:00","00:56:46","0.9461111111111111","",""
"PSY","","Lesen","","","","","No","2020-01-13","20:03:14","2020-01-13","20:28:37","00:25:23","0.4230555555555556","",""
"BWL","","","Learn","","","","No","2020-01-14","08:38:04","2020-01-14","09:29:06","00:51:02","0.8505555555555555","",""
"ARWI","","","","","","","No","2020-01-14","13:12:12","2020-01-14","13:38:28","00:26:16","0.43777777777777777","",""
"BIB","","","","","","","No","2020-01-14","19:19:44","2020-01-14","19:37:14","00:17:30","0.2916666666666667","",""
"BIB","","","","","","","No","2020-01-16","12:02:22","2020-01-16","12:47:22","00:45:00","0.75","",""
"BWL","","","Gruppenarbeit","","","","No","2020-01-16","16:54:44","2020-01-16","18:04:58","01:10:14","1.1705555555555556","",""
"WINF","","","Learn","","","","No","2020-01-19","14:56:42","2020-01-19","16:42:37","01:45:55","1.7652777777777777","",""
"WINF","","","Learn","","","","No","2020-01-19","18:02:37","2020-01-19","18:51:51","00:49:14","0.8205555555555556","",""
"IW","","","","","","","No","2020-01-20","09:55:17","2020-01-20","10:25:33","00:30:16","0.5044444444444445","",""
"ARWI","","","","","","","No","2020-01-20","12:11:11","2020-01-20","12:24:54","00:13:43","0.2286111111111111","",""
"WOR","","","","","","","No","2020-01-20","13:04:42","2020-01-20","13:28:24","00:23:42","0.395","",""
"WIAR","","","","","","","No","2020-01-20","14:34:32","2020-01-20","16:21:46","01:47:14","1.7872222222222223","",""
"BWL","","","Learn","","","","No","2020-01-20","17:41:48","2020-01-20","17:59:13","00:17:25","0.2902777777777778","",""
"BIB","","","","","","","No","2020-01-20","20:08:36","2020-01-20","20:37:38","00:29:02","0.48388888888888887","",""
"WINF","","","Learn","","","","No","2020-01-21","08:24:55","2020-01-21","10:04:12","01:39:17","1.6547222222222222","",""
"BWL","","","","","","","No","2020-01-21","11:07:09","2020-01-21","11:34:11","00:27:02","0.45055555555555554","",""
"WINF","","","Learn","","","","No","2020-01-21","14:00:40","2020-01-21","15:00:52","01:00:12","1.0033333333333334","",""
"IW","","","","","","","No","2020-01-21","15:13:25","2020-01-21","15:39:17","00:25:52","0.4311111111111111","",""
"WIAR","","","","","","","No","2020-01-21","21:08:00","2020-01-21","21:23:57","00:15:57","0.2658333333333333","",""
"WOR","","","","","","","No","2020-01-21","21:36:33","2020-01-21","21:56:33","00:20:00","0.3333333333333333","",""
"WIAR","","","","","","","No","2020-01-22","10:27:31","2020-01-22","11:38:06","01:10:35","1.176388888888889","",""
"WIAR","","","","","","","No","2020-01-22","13:52:36","2020-01-22","15:34:51","01:42:15","1.7041666666666666","",""
"WIAR","","","","","","","No","2020-01-22","16:27:13","2020-01-22","17:49:17","01:22:04","1.3677777777777778","",""
"PSY","","","","","","","No","2020-01-22","17:53:38","2020-01-22","18:06:34","00:12:56","0.21555555555555556","",""
"BWL","","","Learn","","","","No","2020-01-22","21:25:03","2020-01-22","21:50:03","00:25:00","0.4166666666666667","",""
"WIAR","","","","","","","No","2020-01-23","10:08:28","2020-01-23","11:49:12","01:40:44","1.6788888888888889","",""
"WIAR","","","","","","","No","2020-01-23","14:08:30","2020-01-23","15:33:05","01:24:35","1.4097222222222223","",""
"ARWI","","","","","","","No","2020-01-23","16:08:59","2020-01-23","16:25:24","00:16:25","0.27361111111111114","",""
"WIAR","","","","","","","No","2020-01-23","17:26:24","2020-01-23","18:17:39","00:51:15","0.8541666666666666","",""
"BWL","","","","","","","No","2020-01-23","20:48:48","2020-01-23","21:12:46","00:23:58","0.39944444444444444","",""
"WIAR","","","","","","","No","2020-01-24","11:09:32","2020-01-24","11:51:00","00:41:28","0.6911111111111111","",""
"ARWI","","","","","","","No","2020-01-24","12:10:54","2020-01-24","12:31:46","00:20:52","0.3477777777777778","",""
